2026-05-03 11:46:55,033 - INFO - Building environment (duel)...
2026-05-03 11:46:55,034 - INFO - hisss reward_cfg (how match rewards are shaped): {'living_reward': 0.0, 'terminal_reward': 1.0}
2026-05-03 11:46:55,034 - INFO - Observation shape: (2, 21, 21, 22) | channels=22
2026-05-03 11:46:55,592 - INFO - DQN training configuration: {
  "gamma": 0.99,
  "batch_size": 64,
  "train_after": 500,
  "train_every": 1,
  "target_update_every": 500,
  "epsilon_start": 1.0,
  "epsilon_end": 0.05,
  "epsilon_decay_steps": 50000,
  "replay_capacity": 50000
}
2026-05-03 11:46:56,972 - DEBUG - env step | turn=43 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,973 - DEBUG - env step | turn=44 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,008 - DEBUG - env step | turn=45 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,009 - DEBUG - env step | turn=46 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,009 - DEBUG - env step | turn=47 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,009 - DEBUG - env step | turn=48 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,010 - DEBUG - env step | turn=49 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,044 - DEBUG - env step | turn=50 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,044 - DEBUG - env step | turn=51 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,045 - DEBUG - env step | turn=52 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,045 - DEBUG - env step | turn=53 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,045 - DEBUG - env step | turn=54 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,080 - DEBUG - env step | turn=55 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,081 - DEBUG - env step | turn=56 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,081 - DEBUG - env step | turn=57 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,081 - DEBUG - env step | turn=58 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,082 - DEBUG - env step | turn=59 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,118 - DEBUG - env step | turn=60 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,118 - DEBUG - env step | turn=61 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,119 - DEBUG - env step | turn=62 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,119 - DEBUG - env step | turn=63 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,119 - DEBUG - env step | turn=64 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,154 - DEBUG - env step | turn=65 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,155 - DEBUG - env step | turn=66 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,155 - DEBUG - env step | turn=67 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,155 - DEBUG - env step | turn=68 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,156 - DEBUG - env step | turn=69 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,191 - DEBUG - env step | turn=70 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,192 - DEBUG - env step | turn=71 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,192 - DEBUG - env step | turn=72 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,192 - DEBUG - env step | turn=73 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,192 - DEBUG - env step | turn=74 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,229 - DEBUG - env step | turn=75 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,229 - DEBUG - env step | turn=76 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,229 - DEBUG - env step | turn=77 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,230 - DEBUG - env step | turn=78 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,230 - DEBUG - env step | turn=79 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,266 - DEBUG - env step | turn=80 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,266 - DEBUG - env step | turn=81 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,266 - DEBUG - env step | turn=82 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,267 - DEBUG - env step | turn=83 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,267 - DEBUG - env step | turn=84 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,302 - DEBUG - env step | turn=85 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,303 - DEBUG - env step | turn=86 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,303 - DEBUG - env step | turn=87 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,303 - DEBUG - env step | turn=88 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,338 - DEBUG - env step | turn=89 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,339 - DEBUG - env step | turn=90 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,339 - DEBUG - env step | turn=91 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,340 - DEBUG - env step | turn=92 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,340 - DEBUG - env step | turn=93 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,375 - DEBUG - env step | turn=94 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,375 - DEBUG - env step | turn=95 | actions=(3, 0) | rewards=[0. 0.] | done=False
